Floor Name,Objective,Base Reward
Easy,Easy,Easy
Bowl.Floor,Sink the ∞-balls!,25
High-Tower.Floor,Sink the ∞-balls!,25
Pyramid.Floor,Sink the ∞-balls!,25
Forward-Momentum.Floor,Sink the ∞-balls!,30
Rising-Ground.Floor,Destroy the portals!,30
Wide-Open.Floor,Escort the turbine tower!,30
High-Tower.Floor,Destroy the portals!,35
Orbit-Rail.Floor,Defeat the fleeing foes!,35
Wide-Open.Floor,Sink the ∞-balls!,35
Bowl.Floor,Escort the turbine tower!,40
Wide-Open.Floor,Destroy the portals!,40
Rising-Ground.Floor,Sink the ∞-balls!,45
Steamroller.Floor,Sink the ∞-balls!,45
Stepping-Stones.Floor,Escort the turbine tower!,45
Normal,Normal,Normal
Bowl.Floor,Destroy the portals!,100
Rising-Ground.Floor,Defeat the fleeing foes!,100
High-Tower.Floor,Destroy the portals!,105
Pyramid.Floor,Destroy the portals!,110
Bowl.Floor,Defeat the fleeing foes!,115
Pyramid.Floor,Protect the zones!,120
Wide-Open.Floor,Protect the zones!,120
High-Tower.Floor,Protect the zones!,125
Pyramid.Floor,Escort the turbine tower!,125
High-Tower.Floor,Escort the turbine tower!,130
Careful-Aim.Floor,Defeat the fleeing foes!,130
Rising-Ground.Floor,Escort the turbine tower!,135
Uphill-Push.Floor,Sink the ∞-balls!,140
Whirling(Crowd).Floor,Protect the zones!,145
Hard,Hard,Hard
Field-Day_Pyramid.Floor,Defeat the fleeing foes!,200
Assault(Incoming)_Bowl.Floor,Protect the zones!,205
Shelterless_Wide-Open.Floor,Destroy the portals!,210
Up-and-Down_High-Tower.Floor,Defeat the fleeing foes!,215
Pursuit(All-Out)_Wide-Open.Floor,Defeat the fleeing foes!,220
Launching_Pyramid.Floor,Destroy the portals!,225
Danger-Magnet_Bowl.Floor,Destroy the portals!,230
Explosion-Festival.Floor,Destroy the portals!,235
Exposed_Rising-Ground.Floor,Protect the zones!,240
Rigorous,Rigorous,Rigorous
Coverage(Between-Crosshairs).Floor,Protect the zones!,500
Acrobatic_Triangular.Floor,Destroy the portals!,520
Bombarded(Relentless)_Rising-Ground.Floor,Destroy the portals!,540
